"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 02 11:27:34 MSK 2021","Thu Sep 02 11:27:46 MSK 2021","12178","","test\Smoke\main.test.js","","","","case #4 Using search on main page",""
"passed","Thu Sep 02 11:27:46 MSK 2021","Thu Sep 02 11:27:53 MSK 2021","7506","","test\Smoke\main.test.js","","","","case #5 Using search on main page by product code",""
"passed","Thu Sep 02 11:26:44 MSK 2021","Thu Sep 02 11:26:58 MSK 2021","13689","","test\Smoke\docs-group.test.js","","","","Case #3 Add new Group in Docs Groups",""
"passed","Thu Sep 02 11:26:58 MSK 2021","Thu Sep 02 11:27:12 MSK 2021","14079","","test\Smoke\docs-group.test.js","","","","Case #4 Edit Group in Docs Groups",""
"passed","Thu Sep 02 11:26:58 MSK 2021","Thu Sep 02 11:27:12 MSK 2021","14315","","test\Smoke\main.test.js","","","","Case #1 Login as user and logout",""
"passed","Thu Sep 02 11:28:01 MSK 2021","Thu Sep 02 11:28:08 MSK 2021","6936","","test\Smoke\main.test.js","","","","case #7 Using search on main page by product description",""
"passed","Thu Sep 02 11:27:12 MSK 2021","Thu Sep 02 11:27:32 MSK 2021","19688","","test\Smoke\docs-group.test.js","","","","Case #5 Mixed Cases #2, #3, #4",""
"passed","Thu Sep 02 11:26:25 MSK 2021","Thu Sep 02 11:26:34 MSK 2021","8336","","test\Smoke\header.test.js","","","","Case #1 Click on User menu",""
"passed","Thu Sep 02 11:26:45 MSK 2021","Thu Sep 02 11:26:58 MSK 2021","12698","","test\Smoke\header.test.js","","","","Case #3 Logout from User menu",""
"passed","Thu Sep 02 11:29:05 MSK 2021","Thu Sep 02 11:29:24 MSK 2021","18630","","test\Smoke\main.test.js","","","","case #15 Remove product from the cart",""
"passed","Thu Sep 02 11:26:34 MSK 2021","Thu Sep 02 11:26:45 MSK 2021","11274","","test\Smoke\header.test.js","","","","Case #2 Go to Profile page from User menu",""
"passed","Thu Sep 02 11:27:53 MSK 2021","Thu Sep 02 11:28:01 MSK 2021","7652","","test\Smoke\main.test.js","","","","case #6 Using search on main page by product description",""
"passed","Thu Sep 02 11:28:47 MSK 2021","Thu Sep 02 11:29:05 MSK 2021","18759","","test\Smoke\main.test.js","","","","case #14 Remove all products from the cart",""
"passed","Thu Sep 02 11:28:08 MSK 2021","Thu Sep 02 11:28:15 MSK 2021","7347","","test\Smoke\main.test.js","","","","case #8 Using search on main page by product description",""
"passed","Thu Sep 02 11:29:24 MSK 2021","Thu Sep 02 11:29:44 MSK 2021","20413","","test\Smoke\main.test.js","","","","case #16 Create order",""
"passed","Thu Sep 02 11:27:12 MSK 2021","Thu Sep 02 11:27:25 MSK 2021","12697","","test\Smoke\main.test.js","","","","Case #2 Using search on main page",""
"passed","Thu Sep 02 11:28:15 MSK 2021","Thu Sep 02 11:28:23 MSK 2021","8219","","test\Smoke\main.test.js","","","","Case #9 Change language (UA) on main page",""
"passed","Thu Sep 02 11:26:35 MSK 2021","Thu Sep 02 11:26:44 MSK 2021","9205","","test\Smoke\docs-group.test.js","","","","Case #2 Click [Add new Group] button in Docs Groups",""
"passed","Thu Sep 02 11:28:23 MSK 2021","Thu Sep 02 11:28:32 MSK 2021","8371","","test\Smoke\main.test.js","","","","Case #10 Change language (RU) on main page",""
"passed","Thu Sep 02 11:27:25 MSK 2021","Thu Sep 02 11:27:34 MSK 2021","8843","","test\Smoke\main.test.js","","","","Case #3 Using search on main page",""
"passed","Thu Sep 02 11:26:25 MSK 2021","Thu Sep 02 11:26:35 MSK 2021","10427","","test\Smoke\docs-group.test.js","","","","Case #1 Click on Docs Group",""
"passed","Thu Sep 02 11:28:32 MSK 2021","Thu Sep 02 11:28:47 MSK 2021","14861","","test\Smoke\main.test.js","","","","case #13 Add the product to the cart",""
